date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:02	24/24	U-----	200	untouched ('OK')	text/plain	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/robots.txt		(from )
00:48:02	28008/28008	U-----	200	untouched ('OK')	text/html	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/	/home/boss/websites/Israel/fashionteknology.com/index.html	(from )
00:48:05	37230/37230	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:48:03%20GMT	http://adverifai.com/	/home/boss/websites/Israel/adverifai.com/index.html	(from )
00:48:06	116/116	U--MCZ	200	updated ('OK')	text/plain	date:Mon,%2008%20Jan%202018%2022:48:05%20GMT	http://adverifai.com/robots.txt		(from )
00:48:07	73/73	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2022:48:06%20GMT	http://fashionteknology.com/nature-vibe.html	/home/boss/websites/Israel/fashionteknology.com/nature-vibe.html	(from http://fashionteknology.com/)
00:48:48	1026121/1026121	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Nov%202017%2023:19:35%20GMT	http://adverifai.com/wp-content/uploads/2017/11/fight_spam.png	/home/boss/websites/Israel/adverifai.com/wp-content/uploads/2017/11/fight_spam.png	(from http://adverifai.com/)
00:48:48	972/972	U-----	200	untouched ('')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/ZUffJ0S0DLHpGL-onfx1XIsrrH68WQS4JXMYeZqwcBXcrgJQ1qeDY0eQ4DMw54mFgXXH1ofPhCNtEu_IOOe5YS9loiVpKUTCj2Phe0vT	/home/boss/websites/Israel/lh3.googleusercontent.com/unnamed.png	(from http://fashionteknology.com/)
00:48:48	7741/7741	U-----	200	untouched ('')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/VyTcQ7XZ7KvW7W1VFc48icj0oEgPPInPeksF8zzXFBaYCF2CpAa-77okaz8wrKMiZxBkZ197VVAEK6t1-tjgG-Ly31DZTgcw38-eqlbh	/home/boss/websites/Israel/lh3.googleusercontent.com/unnamed-2.png	(from http://fashionteknology.com/)
00:48:49	588/588	U-----	200	untouched ('')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/EWqW7DEI4kOTRMLjK2-ObFHp-EYBt5apFYZ1LVFAhLtTLjigCRfx5hCCTKbIjIm68VQ00p9twloHJ9w8=s50	/home/boss/websites/Israel/lh3.googleusercontent.com/unnamed-3.png	(from http://fashionteknology.com/)
00:48:50	223495/223495	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:35:36%20GMT	http://adverifai.com/wp-content/themes/hestia/style.css?ver=1.1.54	/home/boss/websites/Israel/adverifai.com/wp-content/themes/hestia/style4d86.css	(from http://adverifai.com/)
00:48:52	1493/1493	---MC-	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2022:48:50%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A300%2C400%2C500%2C700%7CRoboto+Slab%3A400%2C700&subset=latin%2Clatin-ext&ver=1.1.54	/home/boss/websites/Israel/fonts.googleapis.com/css5736.css	(from http://adverifai.com/)
00:48:53	66213/66213	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Jan%202018%2017:29:09%20GMT	http://adverifai.com/wp-content/plugins/jetpack/css/jetpack.css?ver=5.6.1	/home/boss/websites/Israel/adverifai.com/wp-content/plugins/jetpack/css/jetpackd96d.css	(from http://adverifai.com/)
00:48:59	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202016%2009:00:29%20GMT	http://adverifai.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	/home/boss/websites/Israel/adverifai.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://adverifai.com/)
00:49:00	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	http://adverifai.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/boss/websites/Israel/adverifai.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://adverifai.com/)
00:49:01	812/812	---MCZ	200	added ('OK')	text/xml	date:Mon,%2008%20Jan%202018%2022:49:00%20GMT	http://adverifai.com/xmlrpc.php?rsd	/home/boss/websites/Israel/adverifai.com/xmlrpc0db0.php	(from http://adverifai.com/)
00:49:02	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://adverifai.com/wp-includes/wlwmanifest.xml	/home/boss/websites/Israel/adverifai.com/wp-includes/wlwmanifest.xml	(from http://adverifai.com/)
