date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:33	24/24	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/robots.txt		(from )
23:37:33	28008/28008	---M--	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/	/home/boss/websites/Israel/fashionteknology.com/index.html	(from )
23:37:33	7917/7917	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/common.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/common3400.css	(from http://fashionteknology.com/)
23:37:34	91225/91225	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/all_css.css	/home/boss/websites/Israel/fashionteknology.com/css/all_css.css	(from http://fashionteknology.com/)
23:37:35	972/972	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/ZUffJ0S0DLHpGL-onfx1XIsrrH68WQS4JXMYeZqwcBXcrgJQ1qeDY0eQ4DMw54mFgXXH1ofPhCNtEu_IOOe5YS9loiVpKUTCj2Phe0vT	/home/boss/websites/Israel/lh3.googleusercontent.com/unnamed.png	(from http://fashionteknology.com/)
23:37:35	37230/37230	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2021:37:34%20GMT	http://adverifai.com/	/home/boss/websites/Israel/adverifai.com/index.html	(from )
23:37:36	12601/12601	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/stripe_data_css.css	/home/boss/websites/Israel/fashionteknology.com/css/stripe_data_css.css	(from http://fashionteknology.com/)
23:37:36	4855/4855	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/fonts.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/fonts3400.css	(from http://fashionteknology.com/)
23:37:37	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/boss/websites/Israel/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://fashionteknology.com/)
23:37:37	30411/30411	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/effects.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/effects3400.css	(from http://fashionteknology.com/)
23:37:37	1611/1611	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/lightbox.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/lightbox3400.css	(from http://fashionteknology.com/)
23:37:38	20815/20815	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/spimeview.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/spimeview3400.css	(from http://fashionteknology.com/)
